2026-08-30 17:52:21,298 | WARNING | mediaegis.system | Redis unavailable, using in-memory cache fallback. (Timeout connecting to server)
2026-08-31 13:02:00,880 | INFO | mediaegis.system | Starting MediAegis AI on 0.0.0.0:8000
2026-08-31 13:02:27,989 | WARNING | mediaegis.system | Redis unavailable, using in-memory cache fallback. (Timeout connecting to server)
2026-08-31 13:03:55,707 | INFO | mediaegis.system | [QueryAgent] {'query': 'what are causes for legs swelling', 'intent': 'general_health', 'entities': [], 'required_tools': ['database', 'medical_api:disease', 'web_search']}
2026-08-31 13:03:55,708 | INFO | mediaegis.system | [SafetyAgent] {'risk_level': 'low', 'is_emergency': False, 'is_blocked': False, 'guardrail_message': None}
2026-08-31 13:03:55,708 | INFO | mediaegis.system | MCP call server=database args={'action': 'cache_lookup', 'query': 'what are causes for legs swelling'} elapsed_ms=0.0
2026-08-31 13:03:55,709 | INFO | mediaegis.system | MCP call server=database args={'action': 'conversation_history', 'session_id': '273a481b-8274-4ebd-bc7d-3f94afcceed0'} elapsed_ms=0.61
2026-08-31 13:03:55,710 | INFO | mediaegis.system | MCP call server=medical_api args={'query': 'what are causes for legs swelling', 'kind': 'disease'} elapsed_ms=0.01
2026-08-31 13:03:55,710 | INFO | mediaegis.system | MCP call server=web_search args={'query': 'what are causes for legs swelling'} elapsed_ms=0.01
2026-08-31 13:03:59,861 | INFO | mediaegis.system | MCP call server=document_store args={'query': 'what are causes for legs swelling', 'top_k': 3} elapsed_ms=4151.05
2026-08-31 13:03:59,862 | INFO | mediaegis.system | [ToolRouter] executed 5 tool calls
2026-08-31 13:03:59,862 | INFO | mediaegis.system | [VerificationAgent] confidence=0.87 sources=3
2026-08-31 13:07:40,326 | INFO | mediaegis.system | [QueryAgent] {'query': 'what is medicine for cough', 'intent': 'drug_info', 'entities': [], 'required_tools': ['database', 'medical_api:drug', 'web_search']}
2026-08-31 13:07:40,326 | INFO | mediaegis.system | [SafetyAgent] {'risk_level': 'low', 'is_emergency': False, 'is_blocked': False, 'guardrail_message': None}
2026-08-31 13:07:40,327 | INFO | mediaegis.system | MCP call server=database args={'action': 'cache_lookup', 'query': 'what is medicine for cough'} elapsed_ms=0.02
2026-08-31 13:07:40,327 | INFO | mediaegis.system | MCP call server=database args={'action': 'conversation_history', 'session_id': '273a481b-8274-4ebd-bc7d-3f94afcceed0'} elapsed_ms=0.61
2026-08-31 13:07:40,329 | INFO | mediaegis.system | MCP call server=web_search args={'query': 'what is medicine for cough'} elapsed_ms=0.01
2026-08-31 13:07:41,654 | INFO | mediaegis.system | MCP call server=medical_api args={'query': 'what is medicine for cough', 'kind': 'drug'} elapsed_ms=1325.51
2026-08-31 13:07:42,477 | INFO | mediaegis.system | MCP call server=document_store args={'query': 'what is medicine for cough', 'top_k': 3} elapsed_ms=2147.62
2026-08-31 13:07:42,478 | INFO | mediaegis.system | [ToolRouter] executed 5 tool calls
2026-08-31 13:07:42,478 | INFO | mediaegis.system | [VerificationAgent] confidence=0.95 sources=3
2026-08-31 13:08:16,475 | INFO | mediaegis.system | [QueryAgent] {'query': 'what is the cause of stomach pain', 'intent': 'disease_info', 'entities': [], 'required_tools': ['database', 'medical_api:disease', 'web_search']}
2026-08-31 13:08:16,475 | INFO | mediaegis.system | [SafetyAgent] {'risk_level': 'elevated', 'is_emergency': False, 'is_blocked': False, 'guardrail_message': None}
2026-08-31 13:08:16,475 | INFO | mediaegis.system | MCP call server=database args={'action': 'cache_lookup', 'query': 'what is the cause of stomach pain'} elapsed_ms=0.0
2026-08-31 13:08:16,476 | INFO | mediaegis.system | MCP call server=database args={'action': 'conversation_history', 'session_id': '273a481b-8274-4ebd-bc7d-3f94afcceed0'} elapsed_ms=0.53
2026-08-31 13:08:16,477 | INFO | mediaegis.system | MCP call server=medical_api args={'query': 'what is the cause of stomach pain', 'kind': 'disease'} elapsed_ms=0.01
2026-08-31 13:08:16,477 | INFO | mediaegis.system | MCP call server=web_search args={'query': 'what is the cause of stomach pain'} elapsed_ms=0.01
2026-08-31 13:08:18,659 | INFO | mediaegis.system | MCP call server=document_store args={'query': 'what is the cause of stomach pain', 'top_k': 3} elapsed_ms=2181.77
2026-08-31 13:08:18,659 | INFO | mediaegis.system | [ToolRouter] executed 5 tool calls
2026-08-31 13:08:18,660 | INFO | mediaegis.system | [VerificationAgent] confidence=0.87 sources=3
